Medicine_ID,Medicine_Name,Strength,Use_Case,Alternative,Stock,Dosage_Instruction,Generic name,Brand name,Manufacturer,ATC category,Prescription/OTC status,Form,Price
1,Paracetamol,500mg,"Fever, Headache","Crocin, Dolo",Yes,1 tablet every 6 hrs,Paracetamol,Crocin,Abbott,N02BE01,OTC,Tablet,170.8
2,Amoxicillin,250mg,Bacterial Infection,Augmentin,No,1 capsule every 8 hrs,Amoxicillin,Mox,Torrent,J01CA04,Prescription,Capsule,372.37
3,Cetirizine,10mg,"Allergy, Cold",Levocetirizine,Yes,1 tablet at night,Cetirizine,Cetzine,Lupin,R06AE07,OTC,Tablet,590.98
4,Metformin,500mg,Diabetes,Glimepiride,Yes,1 tablet after meals,Metformin,Metformin Plus,GSK,,Prescription,Capsule,120.6
5,Ibuprofen,400mg,"Pain, Inflammation",Diclofenac,No,1 tablet every 8 hrs,Ibuprofen,Ibuprofen Plus,Alkem,,Prescription,Cream,247.02
6,Ranitidine,150mg,Acidity,Famotidine,Yes,1 tablet before meals,Ranitidine,Ranitidine Plus,Pfizer,,Prescription,Syrup,521.25
7,ORS Solution,200ml,Dehydration,Electral Powder,Yes,"As directed, sip slowly",ORS Solution,ORS Solution Plus,Mankind,,Prescription,Capsule,179.71
8,Vitamin C,500mg,Immunity Boost,Zincovit,Yes,1 tablet daily,Vitamin C,Vitamin C Plus,Abbott,,Prescription,Cream,231.75
9,Azithromycin,500mg,Throat Infection,Clarithromycin,Yes,1 tablet daily for 3 days,Azithromycin,Azithromycin Plus,Torrent,,Prescription,Capsule,120.28
10,Insulin,10ml,Diabetes,Human Mixtard,No,As prescribed by doctor,Insulin,Insulin Plus,Torrent,,Prescription,Capsule,406.63
11,Aspirin,75 mg,Blood thinner / pain relief,Clopidogrel,Yes,1 tablet daily as prescribed,Aspirin,AspirinMax,GSK,A10,Prescription,Syrup,426.27
12,Pantoprazole,40 mg,Acidity / GERD,Omeprazole,Yes,1 tablet before breakfast,Pantoprazole,PantoprazoleAdvance,Alkem,A10,Prescription,Cream,451.55
